Name,Gender,Department,Annual Salary,Location,Performance,Distance to Office,Age,Tenure in Company,Salary Category,Age Group,Distance Category,Experience,Rating
Aarti Panchal,Female,CEO,10000000,Mumbai,Very Good,25,31,10.4,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,5
Aastha Behl,Female,Sales,880500,Bengaluru,Very Good,7,43,18.2,8LPA - 10LPA,Greater than 40,Less than 10km,15+ Years,5
Abhinaw Sinha,Male,Engineering,682200,Bengaluru,Good,15,28,6.6,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,4
Abhishek Dabb,Male,Legal,563700,New Delhi,Very Good,5,39,13.3,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,5
Abhishek Kumar Preetam,Male,Support,1070900,New Delhi,Poor,10,26,4.8,Greater than 10 LPA ,Less than 30,Less than 10km,2-5 Years,2
Addi Studdeard,Female,Support,1084500,Mumbai,Poor,6,38,6.7,Greater than 10 LPA ,Between 31-40,Less than 10km,5-10 Years,2
Addia Penwright,Male,Human Resources,411600,Bengaluru,Average,7,34,1.9,4LPA - 6LPA,Between 31-40,Less than 10km,0-2 Years,3
Addy Pimblett,Male,Legal,1090000,Mumbai,Very Good,7,41,9.3,Greater than 10 LPA ,Greater than 40,Less than 10km,5-10 Years,5
Adesh Doifode,Male,Support,430200,New Delhi,Average,9,37,8.3,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,3
Adey Ryal,Female,Business Development,378000,Bengaluru,Average,21,32,7.1,2LPA - 4LPA,Between 31-40,Greater than 20km,5-10 Years,3
Adi Seawright,Female,Sales,883800,New Delhi,Average,9,33,10.7,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,3
Aditi Chauhan,Female,Product Management,844200,Mumbai,Average,25,35,13.4,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,3
Aditi Rakesh Trivedi,Female,Legal,1017600,Mumbai,Good,19,30,1.3,Greater than 10 LPA ,Less than 30,Between 10-20km,0-2 Years,4
Aditi Ramesh Karle,Female,Sales,1107800,Mumbai,Poor,1,26,3.8,Greater than 10 LPA ,Less than 30,Less than 10km,2-5 Years,2
Adolph McNalley,Male,Human Resources,684300,Mumbai,Good,21,30,6.0,6LPA - 8LPA,Less than 30,Greater than 20km,5-10 Years,4
Adrianne Gave,Male,Training,1053700,New Delhi,Good,28,30,3.3,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,4
Aeriell Cuell,Male,Engineering,1138000,Bengaluru,Average,11,34,10.5,Greater than 10 LPA ,Between 31-40,Between 10-20km,10-15 Years,3
Aher Sachin Shivaji,Male,Sales,763000,New Delhi,Average,17,36,10.5,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,3
Ajay Kumar Varshney,Male,Sales,445300,New Delhi,Average,1,34,1.4,4LPA - 6LPA,Between 31-40,Less than 10km,0-2 Years,3
Akella Katyayani Naga Subhadra,Female,Legal,637100,Bengaluru,Average,20,36,4.7,6LPA - 8LPA,Between 31-40,Between 10-20km,2-5 Years,3
Akshay Rana,Male,Product Management,627800,Mumbai,Very Good,22,27,4.1,6LPA - 8LPA,Less than 30,Greater than 20km,2-5 Years,5
Aldrich Glenny,Male,Training,1197500,Bengaluru,Average,23,31,8.2,Greater than 10 LPA ,Between 31-40,Greater than 20km,5-10 Years,3
Alexine Portail,Female,Research and Development,1169800,New Delhi,Very Poor,3,33,2.4,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,1
Alford Gerardi,Female,Accounting,359400,Mumbai,Good,5,26,2.2,2LPA - 4LPA,Less than 30,Less than 10km,2-5 Years,4
Ali Roubert,Not Revealed,Services,1090400,Bengaluru,Average,8,32,9.0,Greater than 10 LPA ,Between 31-40,Less than 10km,5-10 Years,3
Alikee Jecock,Female,Services,1091600,New Delhi,Good,22,37,15.1,Greater than 10 LPA ,Between 31-40,Greater than 20km,15+ Years,4
